id,Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume,pct_change,changea,change
94,12/24/2014,112.58,112.71,112.01,112.01,14479611,0,1,106.9514708,107.0749714,106.4099684,106.4099684,14479611,-0.005740528,-0.574052813,0.425947187
95,12/26/2014,112.1,114.52,112.01,113.99,33720951,0,1,106.4954688,108.7944789,106.4099684,108.2909767,33720951,-0.004263635,-0.426363475,0.573636525
96,1/30/2015,118.4,120,116.85,117.16,83745461,0,1,112.4804952,114.0005019,111.0079887,111.30249,83745461,0.017881706,1.788170564,2.788170564
97,2/9/2015,118.55,119.84,118.43,119.72,38889797,0,1,113.0643232,114.2946309,112.949876,114.1801837,38889797,-0.012247959,-1.224795867,-0.224795867
98,2/11/2015,122.77,124.92,122.5,124.88,73561797,0,1,117.0890507,119.1395635,116.8315444,119.1014144,73561797,0.021636016,2.163601564,3.163601564
99,2/13/2015,127.28,127.28,125.65,127.08,54272219,0,1,121.390359,121.390359,119.8357841,121.1996136,54272219,0.009677931,0.967793114,1.967793114
100,2/26/2015,128.785,130.87,126.61,130.415,91287529,0,1,122.825718,124.8142385,120.751362,124.3802928,91287529,-0.021093037,-2.10930374,-1.10930374
101,3/2/2015,129.25,130.28,128.3,129.09,48096663,0,1,123.269201,124.2515397,122.3631604,123.1166047,48096663,-0.005769231,-0.576923077,0.423076923
102,3/3/2015,128.96,129.52,128.09,129.36,37816283,0,1,122.9926202,123.5267072,122.1628778,123.3741109,37816283,-0.002243714,-0.224371373,0.775628627
103,3/5/2015,128.58,128.75,125.76,126.41,56517146,0,1,122.6302039,122.7923375,119.9406941,120.5606166,56517146,-0.004027885,-0.402788536,0.597211464
104,3/25/2015,126.54,126.82,123.38,123.38,51655177,0,1,120.6846011,120.9516446,117.6708241,117.6708241,51655177,-0.005423249,-0.542324923,0.457675077
105,3/30/2015,124.05,126.4,124,126.37,47099670,0,1,118.3098211,120.5510793,118.2621348,120.5224675,47099670,-0.00417436,-0.41743598,0.58256402
106,4/14/2015,127,127.29,125.91,126.3,25524593,0,1,121.1233154,121.3998962,120.0837531,120.4557066,25524593,-0.010672275,-1.067227545,-0.067227545
107,4/24/2015,130.49,130.63,129.23,130.28,44525905,0,1,124.4518223,124.5853441,123.2501264,124.2515397,44525905,0.017069369,1.706936867,2.706936867
108,4/28/2015,134.455,134.54,129.57,130.56,118923970,0,1,128.2333494,128.3144162,123.5743936,124.5185832,118923970,0.016211927,1.621192654,2.621192654
109,4/29/2015,130.16,131.59,128.3,128.64,63386083,0,1,124.1370924,125.5009219,122.3631604,122.6874276,63386083,-0.031943773,-3.194377301,-2.194377301
110,5/19/2015,130.69,130.88,129.64,130.07,44633240,0,1,125.1600045,125.3419649,124.154434,124.5662391,44633240,0.017993457,1.799345692,2.799345692
111,5/20/2015,130,130.98,129.34,130.06,36454932,0,1,124.499201,125.4377335,123.8671282,124.5566622,36454932,-0.005279669,-0.527966945,0.472033055
112,6/2/2015,129.86,130.655,129.32,129.96,33667627,0,1,124.365125,125.1264855,123.8479745,124.4608936,33667627,-0.010213415,-1.021341463,-0.021341463
113,6/3/2015,130.66,130.94,129.9,130.12,30983542,0,1,125.1312739,125.399426,124.4034324,124.6141234,30983542,0.006160481,0.616048052,1.616048052
114,6/26/2015,127.67,127.99,126.51,126.75,44066841,0,1,122.2677923,122.5742519,121.1568763,121.386721,44066841,-0.009234828,-0.92348285,0.07651715
115,7/2/2015,126.43,126.69,125.77,126.44,27210952,0,1,121.0802614,121.3292598,120.4481886,121.0898383,27210952,-0.003703704,-0.37037037,0.62962963
116,7/23/2015,126.2,127.09,125.06,125.16,50999452,0,1,120.8599936,121.7123343,119.7682314,119.864,50999452,0.034511025,3.451102549,4.451102549
117,8/3/2015,121.5,122.57,117.52,118.44,69975968,0,1,116.3588687,117.3835929,112.5472777,113.428349,69975968,-0.008972268,-0.897226754,0.102773246
118,8/24/2015,94.87,108.8,92,103.12,162206292,0,1,91.266048,104.6668707,88.50507448,99.20264435,162206292,-0.14090374,0,1
119,9/1/2015,110.18,111.88,107.36,107.72,76845860,0,1,105.9944468,107.6298667,103.2815739,103.6278981,76845860,-0.017390529,-1.739052885,-0.739052885
120,9/3/2015,112.49,112.78,110.04,110.37,53233940,0,1,108.2166938,108.4956772,105.8597652,106.177229,53233940,0.022636364,2.263636364,3.263636364
121,9/4/2015,108.97,110.45,108.51,109.27,49996311,0,1,104.8304127,106.25419,104.3878873,105.1190162,49996311,-0.03129167,-3.129167037,-2.129167037
122,9/16/2015,116.25,116.54,115.44,116.41,37173489,0,1,111.8338577,112.1128411,111.0546282,111.9877796,37173489,0.002760286,0.276028638,1.276028638
123,9/24/2015,113.25,115.5,112.37,115,50219475,0,1,108.9478227,111.1123489,108.1012524,110.6313431,50219475,-0.003344187,-0.334418727,0.665581273
124,9/25/2015,116.44,116.69,114.02,114.71,56151926,0,1,112.0166399,112.2571428,109.6885717,110.3523597,56151926,0.02816777,2.816777042,3.816777042
125,10/5/2015,109.88,111.3698,109.07,110.78,52064743,0,1,105.7058433,107.1390483,104.9266138,106.5716538,52064743,0.017313212,1.731321174,2.731321174
126,10/6/2015,110.63,111.74,109.765,111.31,48856977,0,1,106.4273521,107.495185,105.595212,107.08152,48856977,0.006825628,0.682562796,1.682562796
127,10/14/2015,111.29,111.52,109.56,110.21,44462449,0,1,107.0622798,107.2835425,105.3979996,106.0233072,44462449,0.004241112,0.424111171,1.424111171
128,10/20/2015,111.34,114.17,110.82,113.77,48967763,0,1,107.1103804,109.8328734,106.6101343,109.4480687,48967763,0.004873646,0.487364621,1.487364621
129,10/22/2015,114.33,115.5,114.1,115.5,41654089,0,1,109.9867953,111.1123489,109.7655326,111.1123489,41654089,0.002894737,0.289473684,1.289473684
130,11/2/2015,119.87,121.36,119.61,121.18,32203267,0,1,115.31634,116.7497374,115.0662169,116.5765753,32203267,-0.009256963,-0.925696339,0.074303661
131,11/3/2015,120.79,123.49,120.7,122.57,45518976,0,1,116.2013907,118.7988223,116.1148097,117.9137715,45518976,0.007674981,0.767498123,1.767498123
132,11/5/2015,121.85,122.69,120.18,120.92,39552680,0.52,1,117.7252166,118.5367815,116.1117483,116.8266983,39552680,-0.010395517,-1.039551693,-0.039551693
133,11/23/2015,119.27,119.73,117.34,117.75,32482528,0,1,115.232553,115.6769814,113.367886,113.764007,32482528,0.000587248,0.058724832,1.058724832
